label,N,P,K,temperature,humidity,rainfall,ph
Rice,103.66,32.42,53.793,23.335,82.592,1896.626,5.381
Potato,94.348,63.481,109.499,19.654,63.568,597.015,6.064
Wheat,70.302,27.924,32.481,17.687,56.186,479.347,6.766
Cotton,93.978,46.579,29.297,22.28,55.982,709.47,6.79
Maize,120.0,30.0,20.0,27.0,55.0,500.0,7.5
Soybean,26.13,52.167,67.719,21.057,66.367,720.256,6.455
Sugarcane,120.0,60.0,60.0,27.0,70.0,1200.0,7.5
Wheat,81.677,30.457,25.829,18.305,55.737,493.429,6.834
Sugarcane,120.0,30.0,100.0,21.0,70.0,2250.0,7.5
Cotton,114.788,50.03,33.646,23.402,54.135,901.255,6.556
Rice,107.092,26.194,60.042,29.329,83.058,2054.152,6.031
Sugarcane,99.89,39.125,79.488,24.176,73.372,1754.616,6.726
Tomato,108.526,72.472,78.737,22.566,70.603,661.561,6.566
Potato,94.833,67.065,111.305,17.444,71.744,637.037,5.997
Rice,93.995,28.042,60.073,26.465,78.757,1711.213,5.321
Wheat,83.274,34.287,29.297,18.193,55.567,553.379,6.382
Sugarcane,97.736,45.802,67.935,21.169,76.074,1774.393,6.0
Soybean,40.0,60.0,40.0,20.0,75.0,900.0,7.0
Rice,98.294,27.526,66.162,25.058,81.793,1861.727,6.074
Soybean,34.461,51.582,66.859,22.807,67.183,602.142,6.277
Cotton,80.0,40.0,40.0,27.0,65.0,600.0,6.0
Potato,80.0,60.0,120.0,25.0,55.0,750.0,5.0
Tomato,110.63,68.523,76.853,20.154,69.859,652.37,6.639
Maize,100.629,54.972,39.225,22.267,63.68,871.21,6.625
Cotton,99.389,53.426,35.409,22.106,52.329,814.577,6.786
Cotton,100.492,52.819,29.212,25.174,58.776,835.89,7.149
Soybean,26.515,54.417,57.11,28.523,62.727,664.201,6.348
Potato,109.04,76.293,97.237,19.716,62.21,651.384,6.132
Rice,99.932,35.301,61.062,24.953,80.849,1947.731,6.159
Wheat,81.013,27.795,34.926,19.558,52.31,516.832,6.781
Tomato,120.0,80.0,60.0,28.0,80.0,750.0,7.0
Cotton,96.304,51.415,32.425,22.632,59.565,883.258,6.727
Cotton,105.92,47.332,30.0,24.709,52.252,1009.541,6.768
Cotton,100.646,45.079,29.22,22.853,54.74,849.892,6.452
Rice,90.193,31.677,43.906,26.081,78.77,1881.682,5.96
Rice,101.611,24.083,63.436,24.037,85.686,1796.552,5.788
Rice,98.907,28.063,44.828,26.068,82.217,1748.415,6.042
Cotton,103.099,50.784,30.603,23.954,57.622,880.111,6.386
Rice,94.604,32.258,55.041,24.131,80.14,2037.645,6.211
Cotton,100.19,50.983,29.295,21.345,51.211,887.429,6.841
Sugarcane,98.953,40.873,82.025,25.31,82.743,1851.641,6.326
Maize,95.095,48.507,58.969,23.625,65.237,712.816,6.337
Potato,80.0,80.0,120.0,25.0,55.0,750.0,5.0
Sugarcane,96.152,43.784,73.559,25.057,81.049,1756.786,6.739
Sugarcane,100.609,39.89,89.807,25.09,83.758,1766.469,6.741
Cotton,107.956,49.559,24.508,22.282,53.912,666.21,7.199
Sugarcane,89.128,50.95,84.115,22.703,77.108,1719.895,6.451
Tomato,98.564,66.351,83.766,24.022,72.98,638.003,6.305
Cotton,104.907,47.528,32.44,25.459,54.312,868.675,6.869
Rice,91.417,26.344,72.246,29.842,79.571,1828.969,6.114
Potato,120.0,80.0,80.0,25.0,75.0,500.0,6.5
Cotton,80.0,40.0,40.0,27.0,45.0,1200.0,7.5
Potato,111.528,68.389,109.91,19.566,68.399,654.524,5.256
Soybean,29.314,53.883,69.431,22.963,64.306,737.946,6.814
Maize,94.54,49.975,35.483,23.312,66.195,898.42,7.041
Potato,101.527,67.777,82.76,21.791,63.371,673.733,5.838
Cotton,100.568,53.749,29.391,24.176,57.997,752.773,6.679
Rice,96.813,34.361,56.71,26.099,81.508,1889.219,6.246
Maize,99.42,46.699,43.068,24.994,65.276,867.513,6.603
Tomato,80.0,60.0,100.0,18.0,80.0,750.0,6.0
Rice,104.02,29.567,64.127,23.065,82.581,1893.415,5.843
Tomato,105.729,65.559,74.509,23.759,74.086,533.251,6.729
Potato,102.236,71.186,105.001,19.009,62.881,619.8,5.431
Maize,104.591,49.883,40.262,24.777,59.129,821.924,6.559
Tomato,90.984,72.518,81.683,24.537,68.225,591.871,6.727
Maize,80.0,60.0,20.0,27.0,55.0,500.0,5.5
Maize,104.073,36.855,50.647,24.182,69.27,660.382,6.192
Soybean,25.374,56.396,54.724,21.676,63.83,491.439,6.319
Sugarcane,104.084,51.847,72.619,24.244,73.285,1466.956,6.603
Soybean,20.0,40.0,40.0,20.0,75.0,450.0,7.0
Wheat,100.0,20.0,20.0,25.0,65.0,375.0,6.0
Rice,97.255,28.788,52.339,21.82,82.208,1750.269,5.972
Soybean,32.407,50.889,64.409,23.504,66.296,795.615,6.22
Tomato,104.791,70.88,75.375,23.643,69.777,612.156,6.946
Wheat,84.843,29.693,28.56,16.428,61.866,503.849,7.279
Sugarcane,95.27,51.639,79.939,23.476,79.321,1841.892,6.664
Tomato,95.42,67.602,77.825,22.83,71.617,573.425,6.386
Wheat,60.0,40.0,40.0,12.0,45.0,650.0,6.0
Maize,110.03,41.695,43.341,25.066,66.283,757.872,6.504
Potato,104.909,72.567,97.353,18.06,66.787,627.646,5.371
Sugarcane,97.78,43.441,92.867,24.22,82.108,1704.382,6.282
Soybean,40.0,40.0,80.0,30.0,75.0,450.0,7.0
Maize,105.108,43.803,37.478,23.042,69.695,538.399,6.766
Maize,103.368,37.853,51.9,23.391,65.561,821.199,6.171
Rice,91.851,30.83,72.142,22.247,79.297,1822.049,5.826
Potato,98.908,70.739,111.684,20.923,67.366,691.703,5.678
Rice,111.855,27.112,60.093,25.019,82.255,1793.842,5.505
Potato,93.887,71.223,98.478,20.719,66.626,580.843,5.478
Cotton,92.469,43.005,20.0,23.868,62.734,1079.678,6.505
Maize,91.377,40.935,41.567,25.215,70.387,814.961,6.596
Potato,106.205,74.607,110.373,20.808,58.344,640.234,5.889
Maize,104.511,41.776,42.27,23.124,62.935,673.524,6.104
Rice,84.125,33.446,52.117,25.553,83.117,2010.573,6.184
Wheat,83.361,29.901,28.117,19.142,58.305,474.597,6.749
Wheat,79.736,29.899,35.627,12.359,51.81,512.754,6.479
Sugarcane,117.682,35.754,78.627,22.867,76.78,1774.772,6.232
Sugarcane,80.0,30.0,60.0,27.0,70.0,1200.0,7.5
Cotton,96.681,48.557,28.226,25.131,54.065,1037.244,7.196
Cotton,104.365,52.361,28.299,22.783,48.432,838.489,6.882
Maize,102.264,45.93,43.717,22.662,67.15,921.212,6.526
Rice,97.256,34.542,53.063,20.979,86.527,2193.666,5.865
Rice,88.51,31.506,63.184,23.063,80.72,2046.318,5.839
Cotton,100.017,47.839,31.959,23.184,56.778,941.384,6.703
Sugarcane,93.94,43.076,77.697,23.871,82.098,1943.62,7.251
Wheat,68.757,28.384,34.096,19.372,45.0,543.393,7.23
Sugarcane,120.0,30.0,60.0,27.0,70.0,1200.0,7.5
Rice,80.0,40.0,80.0,30.0,90.0,1500.0,7.0
Maize,103.702,36.443,38.565,25.782,64.287,599.96,7.131
Potato,98.546,71.698,104.232,20.861,66.13,628.568,5.212
Maize,95.99,53.534,41.441,24.805,65.412,701.124,6.504
Tomato,108.542,76.485,84.132,23.381,65.383,637.837,6.408
Soybean,33.551,53.673,52.545,27.31,69.887,791.451,6.474
Maize,106.781,41.167,42.332,23.929,61.491,699.241,6.961
Potato,96.993,69.228,104.129,18.711,63.087,633.055,6.085
Maize,97.38,51.837,40.344,25.43,65.856,821.103,6.74
Cotton,120.0,40.0,20.0,21.0,65.0,1200.0,6.0
Wheat,60.0,20.0,20.0,25.0,65.0,375.0,7.5
Maize,99.63,44.8,35.153,26.384,64.779,716.022,6.509
Maize,90.013,53.004,41.333,21.35,63.865,804.496,6.421
Maize,97.119,45.488,53.273,23.577,62.78,704.099,7.053
Tomato,104.723,65.393,81.316,26.566,67.105,622.534,6.736
Sugarcane,98.48,40.662,78.816,24.855,75.321,1826.248,6.58
Potato,107.287,72.007,101.99,21.082,68.678,684.385,5.862
Potato,103.246,70.473,98.071,22.548,67.36,637.588,5.923
Sugarcane,91.55,36.981,81.397,24.073,77.337,1643.195,6.847
Rice,101.871,35.893,60.868,26.638,81.252,1726.882,5.678
Tomato,91.945,74.458,79.673,20.122,72.375,667.737,6.096
Cotton,120.0,60.0,20.0,27.0,45.0,1200.0,6.0
Soybean,30.028,52.301,66.696,26.698,68.053,722.339,6.826
Maize,120.0,30.0,60.0,27.0,75.0,1000.0,7.5
Wheat,100.0,40.0,40.0,12.0,45.0,650.0,7.5
Rice,101.266,25.151,68.908,27.08,81.869,1920.432,5.197
Cotton,105.494,48.373,37.498,24.416,51.633,863.329,6.55
Maize,95.514,42.63,29.417,23.242,59.305,802.65,7.433
Potato,102.138,70.765,105.304,18.091,64.36,571.73,5.688
Sugarcane,98.986,47.585,77.572,23.666,79.11,1538.485,6.192
Potato,95.541,68.182,98.608,20.485,65.323,650.179,5.469
Soybean,25.75,53.852,70.795,24.63,63.857,752.482,6.469
Rice,80.0,40.0,80.0,20.0,75.0,1500.0,5.0
Potato,99.225,71.22,102.615,18.591,64.687,655.914,5.982
Soybean,20.0,40.0,40.0,30.0,55.0,450.0,6.0
Cotton,101.648,48.963,31.539,23.624,60.492,1101.736,6.968
Sugarcane,95.628,46.882,79.653,24.823,81.895,1680.862,6.287
Wheat,89.417,33.123,30.238,15.961,53.0,502.434,6.813
Maize,94.503,31.939,36.794,23.604,63.3,842.306,6.787
Tomato,85.519,68.151,79.636,23.384,67.578,548.418,6.366
Potato,98.579,74.859,100.775,20.015,63.473,603.502,5.809
Potato,120.0,60.0,120.0,15.0,75.0,750.0,5.0
Soybean,31.043,46.504,53.225,25.025,68.107,588.676,6.686
Potato,98.607,70.633,107.588,22.754,68.343,635.043,5.406
Wheat,60.0,20.0,40.0,12.0,65.0,375.0,7.5
Soybean,32.753,47.813,50.197,27.544,60.836,707.914,6.353
Cotton,107.537,53.942,28.419,24.521,54.276,924.191,6.463
Soybean,20.0,40.0,80.0,30.0,75.0,450.0,7.0
Wheat,83.866,24.939,25.386,17.636,54.106,433.577,6.955
Cotton,80.0,40.0,20.0,21.0,65.0,1200.0,7.5
Wheat,80.955,24.086,32.283,19.201,54.808,494.608,6.526
Tomato,80.0,60.0,60.0,28.0,60.0,750.0,7.0
Sugarcane,80.0,60.0,60.0,21.0,70.0,1200.0,6.0
Wheat,75.686,34.271,33.861,20.953,53.793,510.164,6.735
Rice,120.0,20.0,40.0,20.0,75.0,2250.0,7.0
Rice,106.106,25.579,60.204,24.193,81.681,2000.345,6.179
Maize,110.249,46.057,36.32,23.845,69.51,872.184,6.228
Cotton,100.405,44.105,31.649,25.287,56.922,832.395,6.551
Soybean,32.924,49.661,57.108,24.689,62.558,635.199,6.406
Tomato,120.0,80.0,100.0,18.0,80.0,750.0,6.0
Sugarcane,106.772,48.387,80.894,24.713,76.318,1759.713,6.825
Soybean,29.483,49.285,57.546,21.685,69.583,598.047,6.528
Potato,106.689,69.329,100.85,20.624,65.958,692.22,5.842
Maize,107.937,41.736,39.152,23.829,60.698,728.034,6.945
Rice,80.0,20.0,40.0,30.0,90.0,1500.0,7.0
Tomato,99.125,75.766,75.923,24.273,71.63,580.476,6.536
Tomato,113.436,71.762,84.646,22.761,63.815,653.113,6.406
Sugarcane,98.185,38.638,82.047,23.538,79.555,1752.151,6.847
Cotton,101.168,51.947,28.72,22.865,52.312,875.896,6.916
Maize,91.645,46.266,45.968,24.273,72.463,869.149,6.397
Soybean,32.232,49.746,62.947,25.775,64.325,781.927,6.732
Wheat,80.676,30.765,31.565,20.496,52.693,481.192,7.113
Wheat,82.014,32.603,25.763,15.442,60.581,528.614,6.645
Rice,80.0,20.0,40.0,30.0,75.0,1500.0,7.0
Tomato,96.108,63.883,83.329,22.448,69.563,648.174,6.424
Maize,89.071,34.796,42.122,23.191,58.369,795.051,7.207
Cotton,101.382,48.323,32.59,24.079,58.541,864.281,7.5
Sugarcane,80.0,30.0,100.0,27.0,70.0,2250.0,7.5
Potato,85.359,69.525,85.572,22.221,70.183,630.86,5.372
Tomato,101.627,71.678,81.71,21.688,70.823,605.412,6.31
Rice,96.441,26.434,55.638,25.713,82.027,1916.083,6.121
Rice,108.86,32.856,65.612,25.924,88.319,1849.355,5.332
Potato,110.733,72.582,87.662,21.414,71.074,741.542,5.869
Tomato,107.698,71.96,87.661,25.6,67.424,687.457,6.256
Soybean,27.261,48.508,60.327,23.63,65.953,696.344,6.47
Maize,120.0,30.0,20.0,27.0,75.0,500.0,7.5
Cotton,99.617,50.336,29.949,22.874,52.764,837.957,6.399
Wheat,84.926,31.792,30.245,17.364,52.283,571.621,6.941
Tomato,90.591,77.841,69.747,19.618,69.804,577.731,6.494
Sugarcane,92.583,48.969,78.185,23.884,78.277,1769.731,6.864
Maize,102.547,48.995,33.736,22.905,70.38,758.408,6.292
Tomato,104.12,66.162,82.001,23.228,69.784,643.267,6.526
Cotton,120.0,40.0,20.0,27.0,65.0,1200.0,6.0
Maize,102.347,44.23,42.697,23.734,62.836,883.79,6.85
Maize,80.0,39.78,36.854,23.395,70.065,698.871,6.794
Rice,98.549,28.721,61.921,24.579,82.394,1884.825,5.774
Sugarcane,102.695,40.675,88.957,25.925,77.116,1985.278,6.154
Soybean,30.759,50.056,60.49,25.666,67.088,620.66,6.324
Potato,97.93,68.726,92.065,20.275,63.009,652.954,5.879
Potato,117.931,74.132,101.881,17.954,61.713,656.095,5.409
Cotton,95.177,50.177,31.308,23.151,54.191,946.768,6.559
Cotton,120.0,60.0,20.0,21.0,65.0,600.0,7.5
Sugarcane,110.418,49.01,76.372,23.136,83.155,1788.295,7.103
Soybean,29.095,49.633,67.156,23.805,60.105,570.834,6.597
Sugarcane,106.237,46.372,95.973,22.275,76.546,1680.209,7.315
Maize,120.0,60.0,20.0,27.0,75.0,1000.0,7.5
Sugarcane,98.77,52.904,75.101,24.019,81.414,1840.863,7.025
Soybean,31.044,53.087,63.065,25.87,61.939,650.309,6.413
Soybean,29.92,50.906,71.681,24.737,61.852,718.44,6.311
Maize,109.541,46.409,43.854,23.862,63.938,735.868,6.039
Sugarcane,120.0,30.0,60.0,21.0,88.0,2250.0,6.0
Tomato,109.466,74.679,80.373,20.502,77.632,641.137,6.446
Cotton,96.388,49.505,29.985,24.217,58.699,927.194,6.399
Maize,109.49,49.979,33.772,23.096,64.747,712.402,6.121
Maize,110.455,46.924,31.176,22.46,64.626,880.099,6.438
Potato,105.622,70.15,100.09,19.037,69.742,561.188,5.825
Maize,91.539,44.863,42.03,23.264,65.094,616.671,6.97
Cotton,101.858,45.962,28.65,23.362,51.713,903.544,6.108
Sugarcane,98.187,47.754,85.854,23.803,82.445,1935.38,7.095
Sugarcane,87.755,43.647,90.975,24.552,73.389,1840.209,6.563
Sugarcane,112.375,43.894,82.236,24.057,84.192,1355.199,6.844
Soybean,34.023,49.36,57.412,24.815,65.698,635.696,6.584
Soybean,30.034,47.932,56.406,24.992,68.381,785.306,6.525
Soybean,26.296,49.051,63.502,25.364,66.269,650.702,6.616
Potato,90.053,73.165,100.791,18.303,71.507,702.029,5.232
Soybean,28.759,44.527,60.546,24.773,64.92,648.88,6.33
Rice,97.17,33.596,67.99,24.716,77.163,1952.16,6.185
Wheat,100.0,20.0,40.0,25.0,65.0,375.0,6.0
Rice,94.272,28.208,63.617,23.407,83.594,1719.781,5.932
Maize,93.272,46.527,39.026,27.0,65.95,718.281,6.973
Soybean,26.159,53.846,68.42,25.387,64.179,721.691,6.465
Wheat,72.738,34.73,31.308,16.967,54.618,535.859,6.687
Maize,93.089,47.554,30.708,23.374,68.586,779.73,6.399
Rice,104.706,24.467,62.059,23.521,79.6,1819.761,5.939
Soybean,20.0,40.0,80.0,20.0,75.0,900.0,7.0
Tomato,102.746,70.618,94.211,23.731,73.837,580.363,6.588
Soybean,40.0,40.0,80.0,30.0,55.0,900.0,7.0
Maize,90.152,44.144,28.936,22.945,67.797,745.841,6.394
Maize,120.0,30.0,20.0,27.0,55.0,500.0,5.5
Wheat,85.895,32.005,33.085,14.216,59.513,530.47,7.003
Potato,91.589,68.526,102.707,18.956,62.304,610.906,6.023
Potato,111.17,71.401,113.14,21.959,65.757,594.871,5.575
Cotton,94.686,52.229,29.988,24.22,54.171,840.374,7.155
Potato,83.153,80.0,107.55,19.67,62.605,666.138,5.874
Rice,120.0,40.0,80.0,20.0,90.0,1500.0,7.0
Soybean,28.866,52.022,55.534,26.121,65.106,658.669,6.699
Wheat,77.524,29.716,27.082,19.91,54.782,538.941,6.704
Sugarcane,104.845,42.089,76.866,23.483,79.188,1506.117,6.189
Cotton,105.264,53.036,29.342,24.556,52.665,953.704,6.623
Soybean,30.828,55.623,59.226,24.935,69.303,740.867,6.571
Cotton,105.431,56.036,34.692,23.863,54.835,904.672,6.787
Maize,99.862,42.07,41.788,23.049,64.4,787.485,6.164
Tomato,100.374,71.698,75.582,21.823,71.581,623.78,6.432
Tomato,80.0,80.0,60.0,28.0,60.0,750.0,7.0
Rice,107.485,29.686,52.594,26.981,84.064,1716.932,6.592
Maize,90.882,40.97,35.853,22.876,66.466,849.719,6.197
Soybean,40.0,40.0,80.0,20.0,75.0,450.0,6.0
Maize,102.346,47.356,31.095,24.938,63.884,821.924,6.229
Cotton,96.704,53.23,36.048,25.126,50.996,921.391,6.28
Maize,100.787,30.0,41.193,24.642,66.486,741.451,7.047
Maize,96.626,48.238,38.839,24.138,68.625,821.929,6.446
Maize,99.512,46.906,34.561,23.036,69.221,864.362,6.17
Maize,80.0,30.0,60.0,27.0,55.0,1000.0,7.5
Rice,99.365,28.44,55.804,25.78,82.988,1953.676,6.044
Rice,93.453,25.192,59.611,25.14,80.766,1978.879,5.553
Sugarcane,97.573,41.03,78.801,25.113,74.461,1785.634,7.095
Maize,104.931,49.097,57.358,23.624,63.473,814.08,6.773
Maize,99.526,35.571,42.501,22.148,61.849,862.64,7.108
Maize,103.083,48.957,31.62,24.644,62.553,776.54,6.424
Soybean,24.658,49.389,52.225,23.747,64.341,600.932,6.596
Tomato,103.28,73.533,76.157,22.283,66.42,603.269,6.418
Tomato,98.697,76.121,81.548,20.311,71.394,647.736,6.479
Cotton,120.0,60.0,40.0,21.0,45.0,1200.0,6.0
Sugarcane,96.497,39.482,75.865,24.009,79.706,1587.521,6.727
Rice,118.728,28.045,69.569,25.406,82.122,1929.074,6.021
Soybean,27.691,46.137,58.196,26.861,62.214,625.299,6.302
Rice,119.428,24.077,62.16,23.733,83.944,1880.82,6.254
Maize,96.837,41.641,37.895,25.178,65.664,955.984,6.557
Wheat,75.307,26.714,27.593,17.949,47.151,502.993,6.614
Maize,98.484,42.516,38.674,22.728,66.323,601.106,6.352
Rice,91.704,27.037,59.529,25.557,82.628,1779.308,6.3
Wheat,77.677,31.281,24.782,21.794,53.409,560.649,6.719
Wheat,80.507,31.569,25.131,16.57,52.603,502.975,6.56
Soybean,30.925,51.359,63.169,22.659,62.366,597.831,6.685
Soybean,38.663,51.679,59.03,24.512,63.155,617.931,6.369
Tomato,104.229,70.337,80.666,22.329,68.083,609.601,6.577
Soybean,28.409,41.295,55.501,24.196,61.976,644.012,6.636
Rice,107.261,34.426,59.539,27.256,82.73,1770.325,5.802
Sugarcane,120.0,30.0,60.0,27.0,70.0,1200.0,7.5
Tomato,98.68,62.692,69.722,26.42,66.358,684.46,6.344
Rice,94.797,31.699,63.679,20.138,85.476,1500.0,5.795
Tomato,99.264,72.448,76.562,21.613,72.424,605.487,6.59
Wheat,78.466,29.428,32.85,15.626,54.264,491.613,6.715
Potato,102.016,67.532,114.232,23.286,63.312,722.461,5.984
Wheat,72.109,24.513,36.642,17.108,54.542,494.268,6.887
Rice,120.0,40.0,80.0,20.0,75.0,2250.0,5.0
Tomato,94.899,67.908,80.004,21.945,68.14,666.052,6.671
Wheat,72.523,31.556,25.625,19.425,58.022,489.523,6.508
Potato,103.421,64.209,99.9,18.406,69.274,672.099,5.512
Cotton,106.244,50.689,29.85,22.729,55.208,710.679,6.605
Soybean,29.242,42.803,62.175,23.194,66.361,587.883,6.8
Sugarcane,93.544,55.181,77.114,24.029,81.692,1380.252,6.691
Sugarcane,99.387,44.065,86.238,24.955,83.697,1759.746,6.723
Sugarcane,88.916,44.969,73.661,22.947,79.783,1629.581,6.446
Potato,120.0,80.0,120.0,25.0,75.0,500.0,5.0
Sugarcane,98.353,48.496,76.108,24.608,71.896,1657.526,7.042
Maize,102.381,50.458,43.245,24.139,64.68,680.429,6.476
Tomato,105.454,73.163,75.944,24.966,68.355,652.229,6.415
Soybean,35.37,48.206,67.14,25.044,66.22,826.563,6.454
Rice,100.383,26.276,62.764,25.964,82.72,1902.448,5.914
Potato,105.015,68.447,90.816,20.606,62.691,600.447,5.714
Maize,94.445,55.793,43.132,24.713,59.639,681.441,6.913
Maize,110.936,42.432,41.941,26.393,61.475,591.849,6.929
Cotton,97.678,52.772,33.874,25.084,51.048,1030.491,6.661
Wheat,80.426,35.612,31.942,18.677,54.892,563.108,6.602
Maize,93.584,46.666,25.612,23.963,61.599,758.442,6.141
Tomato,93.148,63.271,78.833,25.683,69.61,651.816,6.892
Rice,97.885,25.113,52.708,26.712,77.696,2016.124,5.982
Cotton,95.428,48.435,25.743,24.705,54.168,703.353,6.775
Wheat,90.568,27.465,30.007,15.675,60.424,508.681,6.762
Rice,120.0,40.0,40.0,20.0,75.0,2250.0,5.0
Tomato,97.361,68.658,76.087,20.678,75.308,637.452,6.462
Wheat,67.093,29.808,28.569,18.21,53.328,518.808,7.231
Sugarcane,90.986,46.237,78.773,23.608,82.888,1596.699,6.401
Soybean,40.0,40.0,40.0,20.0,55.0,450.0,6.0
Soybean,32.667,47.272,53.392,25.039,66.798,784.707,6.321
Tomato,100.485,73.944,87.542,22.3,71.85,642.549,6.41
Potato,80.0,60.0,80.0,15.0,75.0,500.0,5.0
Sugarcane,90.499,38.107,88.873,23.017,77.501,2093.311,6.566
Wheat,100.0,40.0,40.0,12.0,65.0,650.0,7.5
Rice,101.585,28.02,50.36,25.12,81.176,1904.085,6.007
Maize,120.0,30.0,60.0,27.0,75.0,1000.0,5.5
Sugarcane,103.41,46.501,75.839,23.856,75.447,1811.469,6.94
Maize,101.342,47.198,27.936,24.469,72.577,803.328,6.991
Tomato,120.0,60.0,60.0,18.0,60.0,750.0,7.0
Cotton,94.636,53.252,28.566,24.141,50.38,839.173,6.531
Sugarcane,86.977,46.41,88.517,23.879,73.684,1652.56,7.07
Maize,110.011,36.467,36.944,24.849,70.153,770.006,6.402
Soybean,30.972,48.143,50.073,26.842,62.52,680.405,6.892
Potato,100.363,71.361,92.102,21.354,72.241,572.382,5.839
Maize,98.451,46.283,41.184,24.539,61.943,755.412,6.64
Sugarcane,106.043,47.902,79.603,23.372,77.541,1467.661,6.683
Cotton,120.0,40.0,20.0,21.0,45.0,600.0,7.5
Sugarcane,80.0,60.0,60.0,27.0,88.0,2250.0,6.0
Maize,106.263,49.88,60.0,24.516,66.615,808.668,6.164
Wheat,84.016,25.987,29.783,22.119,60.714,557.752,6.834
Cotton,107.421,50.089,27.092,25.925,57.854,854.334,7.106
Maize,91.273,48.054,25.75,23.777,68.793,751.533,6.334
Potato,98.83,74.658,105.147,20.129,68.818,556.296,5.729
Soybean,30.35,48.317,60.311,26.83,60.824,838.011,6.488
Sugarcane,99.349,41.118,72.969,24.07,86.291,1639.567,6.749
Rice,103.675,31.318,49.553,23.793,81.046,1829.316,5.541
Wheat,60.0,20.0,40.0,25.0,65.0,375.0,7.5
Soybean,29.596,53.64,68.179,27.146,67.304,674.952,6.489
Rice,91.364,35.687,67.463,25.495,79.133,1901.333,5.626
Soybean,30.188,55.337,63.318,24.806,72.519,761.941,6.636
Soybean,27.687,50.265,63.43,24.559,66.482,615.295,6.516
Cotton,98.7,53.674,33.082,22.78,54.021,646.363,6.853
Maize,100.531,41.834,43.744,24.137,63.506,662.486,6.589
Cotton,108.557,51.647,28.969,23.61,56.872,982.043,6.999
Tomato,96.183,66.051,78.763,25.334,70.603,687.354,6.375
Tomato,96.116,60.77,81.606,24.35,66.961,605.387,6.654
Potato,116.22,72.343,93.25,19.844,65.603,603.359,5.868
Potato,96.713,70.689,102.872,22.964,66.446,599.228,5.919
Maize,80.0,60.0,60.0,21.0,55.0,500.0,7.5
Wheat,74.859,24.495,26.253,18.512,52.252,529.737,6.298
Soybean,20.0,40.0,80.0,30.0,55.0,900.0,7.0
